WORD,MPQA,OPENER,OL,VADER,DALX
:D,0.575,0.575,0.575,0.575,
:P,0.35,0.35,0.35,0.35,
:[,-0.5,-0.5,-0.5,-0.5,
:\,-0.325,-0.325,-0.325,-0.325,
:],0.55,0.55,0.55,0.55,
:^),0.525,0.525,0.525,0.525,
:^*,0.65,0.65,0.65,0.65,
:^/,-0.3,-0.3,-0.3,-0.3,
:^\,-0.25,-0.25,-0.25,-0.25,
:^|,-0.25,-0.25,-0.25,-0.25,
:c,-0.525,-0.525,-0.525,-0.525,
:c),0.5,0.5,0.5,0.5,
:d,0.575,0.575,0.575,0.575,
:l,-0.425,-0.425,-0.425,-0.425,
:o,-0.1,-0.1,-0.1,-0.1,
:o),0.525,0.525,0.525,0.525,
:o/,-0.35,-0.35,-0.35,-0.35,
:o\,-0.275,-0.275,-0.275,-0.275,
:o|,-0.15,-0.15,-0.15,-0.15,
:p,0.25,0.25,0.25,0.25,
:s,-0.3,-0.3,-0.3,-0.3,
:{,-0.475,-0.475,-0.475,-0.475,
:|,-0.1,-0.1,-0.1,-0.1,
:},0.525,0.525,0.525,0.525,
:Þ,0.275,0.275,0.275,0.275,
;),0.225,0.225,0.225,0.225,
;-),0.25,0.25,0.25,0.25,
;-*,0.55,0.55,0.55,0.55,
;-],0.175,0.175,0.175,0.175,
;D,0.2,0.2,0.2,0.2,
;],0.15,0.15,0.15,0.15,
;^),0.35,0.35,0.35,0.35,
;d,0.2,0.2,0.2,0.2,
</3,-0.75,-0.75,-0.75,-0.75,
<3,0.475,0.475,0.475,0.475,
<:,0.525,0.525,0.525,0.525,
<:-|,-0.35,-0.35,-0.35,-0.35,
=),0.55,0.55,0.55,0.55,
=-3,0.5,0.5,0.5,0.5,
=-D,0.6,0.6,0.6,0.6,
=-d,0.6,0.6,0.6,0.6,
=/,-0.35,-0.35,-0.35,-0.35,
=3,0.525,0.525,0.525,0.525,
=D,0.575,0.575,0.575,0.575,
=\,-0.3,-0.3,-0.3,-0.3,
=],0.4,0.4,0.4,0.4,
=d,-0.14558794307987916,-0.14558794307987916,-0.14558794307987916,-0.14558794307987916,-0.14558794307987916
=l,-0.3,-0.3,-0.3,-0.3,
=p,-0.09793330387407989,-0.09793330387407989,-0.09793330387407989,-0.09793330387407989,-0.09793330387407989
=|,-0.2,-0.2,-0.2,-0.2,
>-:,-0.5,-0.5,-0.5,-0.5,
>.<,-0.325,-0.325,-0.325,-0.325,
>:,-0.525,-0.525,-0.525,-0.525,
>:(,-0.675,-0.675,-0.675,-0.675,
>:),0.1,0.1,0.1,0.1,
>:-(,-0.675,-0.675,-0.675,-0.675,
>:-),-0.1,-0.1,-0.1,-0.1,
>:/,-0.4,-0.4,-0.4,-0.4,
>:[,-0.525,-0.525,-0.525,-0.525,
>:\,-0.425,-0.425,-0.425,-0.425,
>:o,-0.3,-0.3,-0.3,-0.3,
>:p,0.25,0.25,0.25,0.25,
>;(,-0.725,-0.725,-0.725,-0.725,
>;),0.025,0.025,0.025,0.025,
>_>^,0.525,0.525,0.525,0.525,
@:,-0.525,-0.525,-0.525,-0.525,
@>-->--,0.525,0.525,0.525,0.525,
@}-;-'---,0.55,0.55,0.55,0.55,
O.o,-0.15,-0.15,-0.15,-0.15,
O_o,-0.125,-0.125,-0.125,-0.125,
[-;,0.125,0.125,0.125,0.125,
[:,0.325,0.325,0.325,0.325,
[;,0.25,0.25,0.25,0.25,
[=,0.425,0.425,0.425,0.425,
\-:,-0.25,-0.25,-0.25,-0.25,
\:,-0.25,-0.25,-0.25,-0.25,
\:<,-0.425,-0.425,-0.425,-0.425,
\=,-0.275,-0.275,-0.275,-0.275,
\^:,-0.325,-0.325,-0.325,-0.325,
\o/,0.55,0.55,0.55,0.55,
\o:,-0.3,-0.3,-0.3,-0.3,
]-:,-0.525,-0.525,-0.525,-0.525,
]:,-0.4,-0.4,-0.4,-0.4,
]:<,-0.625,-0.625,-0.625,-0.625,
^<_<,0.35,0.35,0.35,0.35,
^urs,-0.7,-0.7,-0.7,-0.7,
a+,0.24367208883350477,0.24367208883350477,0.24367208883350477,0.24367208883350477,0.24367208883350477
aas,-0.058164523318602876,-0.058164523318602876,-0.058164523318602876,-0.058164523318602876,-0.058164523318602876
aayf,0.675,0.675,0.675,0.675,
abandon,-0.3094346477602334,-0.3094346477602334,-0.3094346477602334,-0.3094346477602334,-0.3094346477602334
abandoned,-0.23627732899314047,-0.23627732899314047,-0.23627732899314047,-0.23627732899314047,-0.23627732899314047
